customerNumber,checkNumber,paymentDate,amount,store_id,create_timestamp,update_timestamp
0,2003-10-24 00:00:00,0000-00-00,299.00,NULL,2021-10-08 09:54:56,2021-10-08 09:54:56
0,2004-09-09 00:00:00,0000-00-00,172.00,NULL,2021-10-08 09:54:56,2021-10-08 09:54:56
0,2005-03-10 00:00:00,0000-00-00,186.00,NULL,2021-10-08 09:54:56,2021-10-08 09:54:56
0,2005-03-05 00:00:00,0000-00-00,124.00,NULL,2021-10-08 09:54:56,2021-10-08 09:54:56
0,2003-11-24 00:00:00,0000-00-00,344.00,NULL,2021-10-08 09:54:56,2021-10-08 09:54:56
0,2003-11-22 00:00:00,0000-00-00,242.00,NULL,2021-10-08 09:54:56,2021-10-08 09:54:56
0,2003-12-16 00:00:00,0000-00-00,357.00,NULL,2021-10-08 09:54:56,2021-10-08 09:54:56
0,2003-09-28 00:00:00,0000-00-00,487.00,NULL,2021-10-08 09:54:56,2021-10-08 09:54:56
0,2005-02-14 00:00:00,0000-00-00,398.00,NULL,2021-10-08 09:54:56,2021-10-08 09:54:56
0,2004-03-13 00:00:00,0000-00-00,298.00,NULL,2021-10-08 09:54:56,2021-10-08 09:54:56
0,2003-10-27 00:00:00,0000-00-00,186.00,NULL,2021-10-08 09:54:56,2021-10-08 09:54:56
0,2005-05-23 00:00:00,1975-02-00,323.00,NULL,2021-10-08 09:54:56,2021-10-08 09:54:56
0,2004-11-03 00:00:00,0000-00-00,187.00,NULL,2021-10-08 09:54:56,2021-10-08 09:54:56
0,2003-09-15 00:00:00,0000-00-00,447.00,NULL,2021-10-08 09:54:56,2021-10-08 09:54:56
0,2004-10-24 00:00:00,0000-00-00,339.00,NULL,2021-10-08 09:54:56,2021-10-08 09:54:56
0,2003-07-19 00:00:00,0000-00-00,141.00,NULL,2021-10-08 09:54:56,2021-10-08 09:54:56
0,2004-04-17 00:00:00,0000-00-00,177.00,NULL,2021-10-08 09:54:56,2021-10-08 09:54:56
0,2004-12-03 00:00:00,0000-00-00,381.00,NULL,2021-10-08 09:54:56,2021-10-08 09:54:56
0,2003-12-22 00:00:00,0000-00-00,151.00,NULL,2021-10-08 09:54:56,2021-10-08 09:54:56
0,2004-08-28 00:00:00,0000-00-00,124.00,NULL,2021-10-08 09:54:56,2021-10-08 09:54:56
0,2003-05-09 00:00:00,0000-00-00,216.00,NULL,2021-10-08 09:54:56,2021-10-08 09:54:56
0,2003-12-26 00:00:00,0000-00-00,495.00,NULL,2021-10-08 09:54:56,2021-10-08 09:54:56
