orderNumber,productCode,quantityOrdered,priceEach,orderLineNumber,store_id,create_timestamp,update_timestamp
10359,S10_4757,48,122.40,6,NULL,2021-10-08 15:47:41,2021-10-08 15:47:41
10359,S12_1108,42,180.79,8,NULL,2021-10-08 15:47:41,2021-10-08 15:47:41
10137,S18_1589,44,115.73,2,NULL,2021-10-08 15:47:41,2021-10-08 15:47:41
10343,S18_1589,36,109.51,4,NULL,2021-10-08 15:47:41,2021-10-08 15:47:41
10398,S18_1662,33,130.88,11,NULL,2021-10-08 15:47:41,2021-10-08 15:47:41
10398,S18_3029,28,70.54,18,NULL,2021-10-08 15:47:41,2021-10-08 15:47:41
10398,S18_3856,45,92.11,17,NULL,2021-10-08 15:47:41,2021-10-08 15:47:41
10137,S24_1628,26,40.25,1,NULL,2021-10-08 15:47:41,2021-10-08 15:47:41
10343,S24_1628,27,44.78,6,NULL,2021-10-08 15:47:41,2021-10-08 15:47:41
10121,S24_2360,32,58.18,2,NULL,2021-10-08 15:47:41,2021-10-08 15:47:41
10398,S24_2841,28,60.29,3,NULL,2021-10-08 15:47:41,2021-10-08 15:47:41
10359,S24_4048,22,108.82,7,NULL,2021-10-08 15:47:41,2021-10-08 15:47:41
10398,S24_4278,45,65.93,14,NULL,2021-10-08 15:47:41,2021-10-08 15:47:41
10343,S24_4620,30,76.80,1,NULL,2021-10-08 15:47:41,2021-10-08 15:47:41
10343,S32_2206,29,37.41,5,NULL,2021-10-08 15:47:41,2021-10-08 15:47:41
10359,S32_2509,36,45.45,3,NULL,2021-10-08 15:47:41,2021-10-08 15:47:41
10359,S32_3207,22,62.14,1,NULL,2021-10-08 15:47:41,2021-10-08 15:47:41
10398,S32_4289,22,60.54,4,NULL,2021-10-08 15:47:41,2021-10-08 15:47:41
10398,S50_1341,49,38.84,5,NULL,2021-10-08 15:47:41,2021-10-08 15:47:41
10359,S50_1392,46,99.55,2,NULL,2021-10-08 15:47:41,2021-10-08 15:47:41
10121,S50_4713,44,72.41,1,NULL,2021-10-08 15:47:41,2021-10-08 15:47:41
10398,S700_1691,47,78.55,6,NULL,2021-10-08 15:47:41,2021-10-08 15:47:41
10398,S700_2047,36,75.13,7,NULL,2021-10-08 15:47:41,2021-10-08 15:47:41
10398,S700_4002,36,62.19,12,NULL,2021-10-08 15:47:41,2021-10-08 15:47:41
