checkNumber,paymentDate,amount,customerNumber,store_id,create_timestamp,update_timestamp
AE215433,2005-03-05,101244.59,124,NULL,2021-10-11 10:40:45,2021-10-11 10:40:45
AH612904,2003-09-28,29997.09,487,NULL,2021-10-11 10:40:45,2021-10-11 10:40:45
AO757239,2003-09-15,6631.36,447,NULL,2021-10-11 10:40:45,2021-10-11 10:40:45
AP286625,2004-10-24,23333.06,339,NULL,2021-10-11 10:40:45,2021-10-11 10:40:45
BG255406,2004-08-28,85410.87,124,NULL,2021-10-11 10:40:45,2021-10-11 10:40:45
BR352384,2004-11-14,2434.25,161,NULL,2021-10-11 10:40:45,2021-10-11 10:40:45
BR478494,2003-11-18,50743.65,161,NULL,2021-10-11 10:40:45,2021-10-11 10:40:45
CA762595,2005-02-12,28322.83,379,NULL,2021-10-11 10:40:45,2021-10-11 10:40:45
CL442705,2003-03-12,22292.62,131,NULL,2021-10-11 10:40:45,2021-10-11 10:40:45
CQ287967,2003-04-11,11044.30,124,NULL,2021-10-11 10:40:45,2021-10-11 10:40:45
DA98827,2003-11-28,34606.28,339,NULL,2021-10-11 10:40:45,2021-10-11 10:40:45
DM826140,2004-12-08,26248.78,129,NULL,2021-10-11 10:40:45,2021-10-11 10:40:45
DR578578,2004-10-28,47411.33,286,NULL,2021-10-11 10:40:45,2021-10-11 10:40:45
ED203908,2005-04-15,30293.77,462,NULL,2021-10-11 10:40:45,2021-10-11 10:40:45
EF485824,2004-06-21,59551.38,450,NULL,2021-10-11 10:40:45,2021-10-11 10:40:45
ER615123,2003-06-25,17032.29,447,NULL,2021-10-11 10:40:45,2021-10-11 10:40:45
ET64396,2005-04-16,83598.04,124,NULL,2021-10-11 10:40:45,2021-10-11 10:40:45
FI192930,2004-12-06,9658.74,198,NULL,2021-10-11 10:40:45,2021-10-11 10:40:45
FP170292,2004-07-11,18473.71,362,NULL,2021-10-11 10:40:45,2021-10-11 10:40:45
FR499138,2003-09-16,32680.31,379,NULL,2021-10-11 10:40:45,2021-10-11 10:40:45
GB890854,2004-08-02,12530.51,379,NULL,2021-10-11 10:40:45,2021-10-11 10:40:45
GC60330,2003-11-08,9977.85,462,NULL,2021-10-11 10:40:45,2021-10-11 10:40:45
GC697638,2004-08-13,51152.86,204,NULL,2021-10-11 10:40:45,2021-10-11 10:40:45
GJ597719,2005-01-18,8307.28,320,NULL,2021-10-11 10:40:45,2021-10-11 10:40:45
GP545698,2004-05-13,11843.45,173,NULL,2021-10-11 10:40:45,2021-10-11 10:40:45
HI366474,2004-12-27,47142.70,124,NULL,2021-10-11 10:40:45,2021-10-11 10:40:45
HI618861,2004-11-19,35152.12,157,NULL,2021-10-11 10:40:45,2021-10-11 10:40:45
HL685576,2004-11-06,42339.76,319,NULL,2021-10-11 10:40:45,2021-10-11 10:40:45
HO576374,2003-08-20,41016.75,320,NULL,2021-10-11 10:40:45,2021-10-11 10:40:45
HQ920205,2003-07-06,6036.96,198,NULL,2021-10-11 10:40:45,2021-10-11 10:40:45
HR86578,2004-11-02,55639.66,124,NULL,2021-10-11 10:40:45,2021-10-11 10:40:45
ID449593,2003-12-11,23923.93,129,NULL,2021-10-11 10:40:45,2021-10-11 10:40:45
IG462397,2004-03-29,20355.24,173,NULL,2021-10-11 10:40:45,2021-10-11 10:40:45
IO164641,2004-08-30,37527.58,260,NULL,2021-10-11 10:40:45,2021-10-11 10:40:45
IS150005,2004-09-24,4424.40,204,NULL,2021-10-11 10:40:45,2021-10-11 10:40:45
IS946883,2004-09-21,5858.56,198,NULL,2021-10-11 10:40:45,2021-10-11 10:40:45
KG644125,2005-02-02,12692.19,161,NULL,2021-10-11 10:40:45,2021-10-11 10:40:45
KH910279,2004-09-05,43134.04,286,NULL,2021-10-11 10:40:45,2021-10-11 10:40:45
KI131716,2003-08-15,111654.40,124,NULL,2021-10-11 10:40:45,2021-10-11 10:40:45
LF217299,2004-03-26,43369.30,124,NULL,2021-10-11 10:40:45,2021-10-11 10:40:45
MA724562,2004-12-02,50025.35,131,NULL,2021-10-11 10:40:45,2021-10-11 10:40:45
MU817160,2003-11-24,52548.49,320,NULL,2021-10-11 10:40:45,2021-10-11 10:40:45
NB445135,2004-09-11,35321.97,131,NULL,2021-10-11 10:40:45,2021-10-11 10:40:45
NH776924,2004-04-24,29284.42,260,NULL,2021-10-11 10:40:45,2021-10-11 10:40:45
NI908214,2003-08-05,38675.13,161,NULL,2021-10-11 10:40:45,2021-10-11 10:40:45
NN711988,2004-09-07,63357.13,157,NULL,2021-10-11 10:40:45,2021-10-11 10:40:45
NT141748,2003-11-25,45084.38,124,NULL,2021-10-11 10:40:45,2021-10-11 10:40:45
OG208861,2004-09-21,15059.76,362,NULL,2021-10-11 10:40:45,2021-10-11 10:40:45
OM548174,2003-12-07,36092.40,319,NULL,2021-10-11 10:40:45,2021-10-11 10:40:45
OU516561,2004-12-17,26304.13,447,NULL,2021-10-11 10:40:45,2021-10-11 10:40:45
PE176846,2004-11-27,48355.87,462,NULL,2021-10-11 10:40:45,2021-10-11 10:40:45
PI42991,2003-04-09,16537.85,129,NULL,2021-10-11 10:40:45,2021-10-11 10:40:45
PT550181,2004-02-29,12573.28,487,NULL,2021-10-11 10:40:45,2021-10-11 10:40:45
