productCode,productName,productScale,productVendor,productDescription,quantityInStock,buyPrice,MSRP,productLine,store_id,create_timestamp,update_timestamp
S18_2795,1928 Mercedes-Benz SSK,1:18,Gearbox Collectibles,This 1:18 replica features grille-mounted chrome horn  lift-up louvered hood  fold-down rumble seat  working steering system  chrome-covered spare  opening doors  detailed and wired engine. Color black.,548,72.56,168.75,Vintage Cars,NULL,2021-10-11 10:40:45,2021-10-11 10:40:45
S18_2870,1999 Indy 500 Monte Carlo SS,1:18,Red Start Diecast,Features include opening and closing doors. Color: Red,8164,56.76,132.00,Classic Cars,NULL,2021-10-11 10:40:45,2021-10-11 10:40:45
S32_4289,1928 Ford Phaeton Deluxe,1:32,Highway 66 Mini Classics,This model features grille-mounted chrome horn  lift-up louvered hood  fold-down rumble seat  working steering system,136,33.02,68.79,Vintage Cars,NULL,2021-10-11 10:40:45,2021-10-11 10:40:45
S18_3278,1969 Dodge Super Bee,1:18,Min Lin Diecast,This replica features opening doors  superb detail and craftsmanship  working steering system  opening forward compartment  opening rear trunk with removable spare  4 wheel independent spring suspension as well as factory baked enamel finish.,1917,49.05,80.41,Classic Cars,NULL,2021-10-11 10:40:45,2021-10-11 10:40:45
S24_1578,1997 BMW R 1100 S,1:24,Autoart Studio Design,Detailed scale replica with working suspension and constructed from over 70 parts,7003,60.86,112.70,Motorcycles,NULL,2021-10-11 10:40:45,2021-10-11 10:40:45
S10_2016,1996 Moto Guzzi 1100i,1:10,Highway 66 Mini Classics,Official Moto Guzzi logos and insignias  saddle bags located on side of motorcycle  detailed engine  working steering  working suspension  two leather seats  luggage rack  dual exhaust pipes  small saddle bag located on handle bars  two-tone paint with chrome accents  superior die-cast detail   rotating wheels   working kick stand  diecast metal with plastic parts and baked enamel finish.,6625,68.99,118.94,Motorcycles,NULL,2021-10-11 10:40:45,2021-10-11 10:40:45
S18_3136,18th Century Vintage Horse Carriage,1:18,Red Start Diecast,Hand crafted diecast-like metal horse carriage is re-created in about 1:18 scale of antique horse carriage. This antique style metal Stagecoach is all hand-assembled with many different parts. This collectible metal horse carriage is painted in classic Red  and features turning steering wheel and is entirely hand-finished.,5992,60.74,104.72,Vintage Cars,NULL,2021-10-11 10:40:45,2021-10-11 10:40:45
S24_4258,1936 Chrysler Airflow,1:24,Second Gear Diecast,Features opening trunk   working steering system. Color dark green.,4710,57.46,97.39,Vintage Cars,NULL,2021-10-11 10:40:45,2021-10-11 10:40:45
S18_3782,1957 Vespa GS150,1:18,Studio M Art Models,Features rotating wheels  working kick stand. Comes with stand.,7689,32.95,62.17,Motorcycles,NULL,2021-10-11 10:40:45,2021-10-11 10:40:45
S18_2325,1932 Model A Ford J-Coupe,1:18,Autoart Studio Design,This model features grille-mounted chrome horn  lift-up louvered hood  fold-down rumble seat  working steering system  chrome-covered spare  opening doors  detailed and wired engine,9354,58.48,127.13,Vintage Cars,NULL,2021-10-11 10:40:45,2021-10-11 10:40:45
S700_2047,HMS Bounty,1:700,Unimax Art Galleries,Measures 30 inches Long x 27 1/2 inches High x 4 3/4 inches Wide. \nMany extras including rigging  long boats  pilot house  anchors  etc. Comes with three masts  all square-rigged.,3501,39.83,90.52,Ships,NULL,2021-10-11 10:40:45,2021-10-11 10:40:45
S700_2466,America West Airlines B757-200,1:700,Motor City Art Classics,Official logos and insignias. Working steering system. Rotating jet engines,9653,68.80,99.72,Planes,NULL,2021-10-11 10:40:45,2021-10-11 10:40:45
S24_3949,Corsair F4U ( Bird Cage),1:24,Second Gear Diecast,Has retractable wheels and comes with a stand. Official logos and insignias.,6812,29.34,68.24,Planes,NULL,2021-10-11 10:40:45,2021-10-11 10:40:45
S24_2011,18th century schooner,1:24,Carousel DieCast Legends,All wood with canvas sails. Many extras including rigging  long boats  pilot house  anchors  etc. Comes with 4 masts  all square-rigged.,1898,82.34,122.89,Ships,NULL,2021-10-11 10:40:45,2021-10-11 10:40:45
S18_2319,1964 Mercedes Tour Bus,1:18,Unimax Art Galleries,Exact replica. 100+ parts. working steering system  original logos,8258,74.86,122.73,Trucks and Buses,NULL,2021-10-11 10:40:45,2021-10-11 10:40:45
S18_1367,1936 Mercedes-Benz 500K Special Roadster,1:18,Studio M Art Models,This 1:18 scale replica is constructed of heavy die-cast metal and has all the features of the original: working doors and rumble seat  independent spring suspension  detailed interior  working steering system  and a bifold hood that reveals an engine so accurate that it even includes the wiring. All this is topped off with a baked enamel finish. Color white.,8635,24.26,53.91,Vintage Cars,NULL,2021-10-11 10:40:45,2021-10-11 10:40:45
S24_4620,1961 Chevrolet Impala,1:18,Classic Metal Creations,This 1:18 scale precision die-cast reproduction of the 1961 Chevrolet Impala has all the features-doors  hood and trunk that open; detailed 409 cubic-inch engine; chrome dashboard and stick shift  two-tone interior; working steering system; all topped of with a factory baked-enamel finish.,7869,32.33,80.84,Classic Cars,NULL,2021-10-11 10:40:45,2021-10-11 10:40:45
S700_1938,The Mayflower,1:700,Studio M Art Models,Measures 31 1/2 inches Long x 25 1/2 inches High x 10 5/8 inches Wide\nAll wood with canvas sail. Extras include long boats  rigging  ladders  railing  anchors  side cannons  hand painted  etc.,737,43.30,86.61,Ships,NULL,2021-10-11 10:40:45,2021-10-11 10:40:45
S18_1342,1937 Lincoln Berline,1:18,Motor City Art Classics,Features opening engine cover  doors  trunk  and fuel filler cap. Color black,8693,60.62,102.74,Vintage Cars,NULL,2021-10-11 10:40:45,2021-10-11 10:40:45
S24_2972,1982 Lamborghini Diablo,1:24,Second Gear Diecast,This replica features opening doors  superb detail and craftsmanship  working steering system  opening forward compartment  opening rear trunk with removable spare  4 wheel independent spring suspension as well as factory baked enamel finish.,7723,16.24,37.76,Classic Cars,NULL,2021-10-11 10:40:45,2021-10-11 10:40:45
S24_3969,1936 Mercedes Benz 500k Roadster,1:24,Red Start Diecast,This model features grille-mounted chrome horn  lift-up louvered hood  fold-down rumble seat  working steering system and rubber wheels. Color black.,2081,21.75,41.03,Vintage Cars,NULL,2021-10-11 10:40:45,2021-10-11 10:40:45
S24_4278,1900s Vintage Tri-Plane,1:24,Unimax Art Galleries,Hand crafted diecast-like metal Triplane is Re-created in about 1:24 scale of antique pioneer airplane. This antique style metal triplane is all hand-assembled with many different parts.,2756,36.23,72.45,Planes,NULL,2021-10-11 10:40:45,2021-10-11 10:40:45
S18_1662,1980s Black Hawk Helicopter,1:18,Red Start Diecast,1:18 scale replica of actual Army's UH-60L BLACK HAWK Helicopter. 100% hand-assembled. Features rotating rotor blades  propeller blades and rubber wheels.,5330,77.27,157.69,Planes,NULL,2021-10-11 10:40:45,2021-10-11 10:40:45
S72_1253,Boeing X-32A JSF,1:72,Motor City Art Classics,10 inches Wingspan with retractable landing gears.Comes with pilot,4857,32.77,49.66,Planes,NULL,2021-10-11 10:40:45,2021-10-11 10:40:45
S18_3856,1941 Chevrolet Special Deluxe Cabriolet,1:18,Exoto Designs,Features opening hood  opening doors  opening trunk  wide white wall tires  front door arm rests  working steering system  leather upholstery. Color black.,2378,64.58,105.87,Vintage Cars,NULL,2021-10-11 10:40:45,2021-10-11 10:40:45
S72_3212,Pont Yacht,1:72,Unimax Art Galleries,Measures 38 inches Long x 33 3/4 inches High. Includes a stand. Many extras including rigging  long boats  pilot house  anchors  etc. Comes with 2 masts  all square-rigged,414,33.30,54.60,Ships,NULL,2021-10-11 10:40:45,2021-10-11 10:40:45
S24_2766,1949 Jaguar XK 120,1:24,Classic Metal Creations,Precision-engineered from original Jaguar specification in perfect scale ratio. Features opening doors  superb detail and craftsmanship  working steering system  opening forward compartment  opening rear trunk with removable spare  4 wheel independent spring suspension as well as factory baked enamel finish.,2350,47.25,90.87,Classic Cars,NULL,2021-10-11 10:40:45,2021-10-11 10:40:45
S32_1268,1980s GM Manhattan Express,1:32,Motor City Art Classics,This 1980s era new look Manhattan express is still active  running from the Bronx to mid-town Manhattan. Has 35 opeining windows and working lights. Needs a battery.,5099,53.93,96.31,Trucks and Buses,NULL,2021-10-11 10:40:45,2021-10-11 10:40:45
S18_1984,1995 Honda Civic,1:18,Min Lin Diecast,This model features  opening hood  opening doors  detailed engine  rear spoiler  opening trunk  working steering  tinted windows  baked enamel finish. Color yellow.,9772,93.89,142.25,Classic Cars,NULL,2021-10-11 10:40:45,2021-10-11 10:40:45
S12_1666,1958 Setra Bus,1:12,Welly Diecast Productions,Model features 30 windows  skylights & glare resistant glass  working steering system  original logos,1579,77.90,136.67,Trucks and Buses,NULL,2021-10-11 10:40:45,2021-10-11 10:40:45
S18_3140,1903 Ford Model A,1:18,Unimax Art Galleries,Features opening trunk   working steering system,3913,68.30,136.59,Vintage Cars,NULL,2021-10-11 10:40:45,2021-10-11 10:40:45
S24_2841,1900s Vintage Bi-Plane,1:24,Autoart Studio Design,Hand crafted diecast-like metal bi-plane is re-created in about 1:24 scale of antique pioneer airplane. All hand-assembled with many different parts. Hand-painted in classic yellow and features correct markings of original airplane.,5942,34.25,68.51,Planes,NULL,2021-10-11 10:40:45,2021-10-11 10:40:45
S18_2432,1926 Ford Fire Engine,1:18,Carousel DieCast Legends,Gleaming red handsome appearance. Everything is here the fire hoses  ladder  axes  bells  lanterns  ready to fight any inferno.,2018,24.92,60.77,Trucks and Buses,NULL,2021-10-11 10:40:45,2021-10-11 10:40:45
S18_1589,1965 Aston Martin DB5,1:18,Classic Metal Creations,Die-cast model of the silver 1965 Aston Martin DB5 in silver. This model includes full wire wheels and doors that open with fully detailed passenger compartment. In 1:18 scale  this model measures approximately 10 inches/20 cm long.,9042,65.96,124.44,Classic Cars,NULL,2021-10-11 10:40:45,2021-10-11 10:40:45
S24_1785,1928 British Royal Navy Airplane,1:24,Classic Metal Creations,Official logos and insignias,3627,66.74,109.42,Planes,NULL,2021-10-11 10:40:45,2021-10-11 10:40:45
S18_2238,1998 Chrysler Plymouth Prowler,1:18,Gearbox Collectibles,Turnable front wheels; steering function; detailed interior; detailed engine; opening hood; opening trunk; opening doors; and detailed chassis.,4724,101.51,163.73,Classic Cars,NULL,2021-10-11 10:40:45,2021-10-11 10:40:45
S24_2300,1962 Volkswagen Microbus,1:24,Autoart Studio Design,This 1:18 scale die cast replica of the 1962 Microbus is loaded with features: A working steering system  opening front doors and tailgate  and famous two-tone factory baked enamel finish  are all topped of by the sliding  real fabric  sunroof.,2327,61.34,127.79,Trucks and Buses,NULL,2021-10-11 10:40:45,2021-10-11 10:40:45
S18_4027,1970 Triumph Spitfire,1:18,Min Lin Diecast,Features include opening and closing doors. Color: White.,5545,91.92,143.62,Classic Cars,NULL,2021-10-11 10:40:45,2021-10-11 10:40:45
