orderNumber,productCode,quantityOrdered,priceEach,orderLineNumber,store_id,create_timestamp,update_timestamp
10159,S10_2016,37,101.10,17,NULL,2021-10-10 10:47:43,2021-10-10 10:47:43
10168,S10_2016,27,97.53,4,NULL,2021-10-10 10:47:43,2021-10-10 10:47:43
10201,S10_2016,24,116.56,5,NULL,2021-10-10 10:47:43,2021-10-10 10:47:43
10285,S10_2016,47,110.61,9,NULL,2021-10-10 10:47:43,2021-10-10 10:47:43
10318,S10_2016,45,102.29,4,NULL,2021-10-10 10:47:43,2021-10-10 10:47:43
10388,S10_2016,50,118.94,5,NULL,2021-10-10 10:47:43,2021-10-10 10:47:43
10127,S12_3148,46,140.50,3,NULL,2021-10-10 10:47:43,2021-10-10 10:47:43
10142,S12_3148,33,140.50,13,NULL,2021-10-10 10:47:43,2021-10-10 10:47:43
10185,S12_3148,33,146.55,14,NULL,2021-10-10 10:47:43,2021-10-10 10:47:43
10196,S12_3148,24,151.08,6,NULL,2021-10-10 10:47:43,2021-10-10 10:47:43
10272,S12_3148,27,123.89,3,NULL,2021-10-10 10:47:43,2021-10-10 10:47:43
10282,S12_3148,27,142.02,6,NULL,2021-10-10 10:47:43,2021-10-10 10:47:43
10324,S12_3148,27,148.06,1,NULL,2021-10-10 10:47:43,2021-10-10 10:47:43
10382,S12_3148,37,145.04,11,NULL,2021-10-10 10:47:43,2021-10-10 10:47:43
10135,S12_3380,48,110.39,5,NULL,2021-10-10 10:47:43,2021-10-10 10:47:43
10147,S12_3380,31,110.39,5,NULL,2021-10-10 10:47:43,2021-10-10 10:47:43
10276,S12_3380,47,104.52,1,NULL,2021-10-10 10:47:43,2021-10-10 10:47:43
10102,S18_1342,39,95.55,2,NULL,2021-10-10 10:47:43,2021-10-10 10:47:43
10111,S18_1342,33,87.33,6,NULL,2021-10-10 10:47:43,2021-10-10 10:47:43
10149,S18_1342,50,87.33,4,NULL,2021-10-10 10:47:43,2021-10-10 10:47:43
10162,S18_1342,48,87.33,2,NULL,2021-10-10 10:47:43,2021-10-10 10:47:43
10182,S18_1342,25,83.22,3,NULL,2021-10-10 10:47:43,2021-10-10 10:47:43
10312,S18_1342,43,102.74,10,NULL,2021-10-10 10:47:43,2021-10-10 10:47:43
10322,S18_1342,43,92.47,14,NULL,2021-10-10 10:47:43,2021-10-10 10:47:43
10369,S18_1342,44,89.38,8,NULL,2021-10-10 10:47:43,2021-10-10 10:47:43
10422,S18_1342,51,91.44,2,NULL,2021-10-10 10:47:43,2021-10-10 10:47:43
10102,S18_1367,41,43.13,1,NULL,2021-10-10 10:47:43,2021-10-10 10:47:43
10111,S18_1367,48,48.52,5,NULL,2021-10-10 10:47:43,2021-10-10 10:47:43
10149,S18_1367,30,48.52,3,NULL,2021-10-10 10:47:43,2021-10-10 10:47:43
10162,S18_1367,45,45.28,1,NULL,2021-10-10 10:47:43,2021-10-10 10:47:43
10182,S18_1367,32,44.21,2,NULL,2021-10-10 10:47:43,2021-10-10 10:47:43
10312,S18_1367,25,43.67,9,NULL,2021-10-10 10:47:43,2021-10-10 10:47:43
10322,S18_1367,41,44.21,5,NULL,2021-10-10 10:47:43,2021-10-10 10:47:43
10369,S18_1367,32,46.36,7,NULL,2021-10-10 10:47:43,2021-10-10 10:47:43
10381,S18_1367,25,49.60,9,NULL,2021-10-10 10:47:43,2021-10-10 10:47:43
10422,S18_1367,25,47.44,1,NULL,2021-10-10 10:47:43,2021-10-10 10:47:43
10135,S18_1889,48,66.99,3,NULL,2021-10-10 10:47:43,2021-10-10 10:47:43
10147,S18_1889,26,70.84,3,NULL,2021-10-10 10:47:43,2021-10-10 10:47:43
10192,S18_1889,45,70.84,15,NULL,2021-10-10 10:47:43,2021-10-10 10:47:43
10321,S18_1889,37,73.92,14,NULL,2021-10-10 10:47:43,2021-10-10 10:47:43
