orderNumber,orderDate,requiredDate,shippedDate,status,comments,customerNumber,store_id,create_timestamp,update_timestamp
10136,2003-07-04,2003-07-14,2003-07-06,Shipped,Customer is interested in buying more Ferrari models,242,NULL,2021-10-11 10:38:50,2021-10-11 10:38:50
10178,2003-11-08,2003-11-16,2003-11-10,Shipped,Custom shipping instructions sent to warehouse,242,NULL,2021-10-11 10:38:50,2021-10-11 10:38:50
10180,2003-11-11,2003-11-19,2003-11-14,Shipped,NULL,171,NULL,2021-10-11 10:38:50,2021-10-11 10:38:50
10216,2004-02-02,2004-02-10,2004-02-04,Shipped,NULL,256,NULL,2021-10-11 10:38:50,2021-10-11 10:38:50
10224,2004-02-21,2004-03-02,2004-02-26,Shipped,Customer has worked with some of our vendors in the past and is aware of their MSRP,171,NULL,2021-10-11 10:38:50,2021-10-11 10:38:50
10241,2004-04-13,2004-04-20,2004-04-19,Shipped,NULL,209,NULL,2021-10-11 10:38:50,2021-10-11 10:38:50
10255,2004-06-04,2004-06-12,2004-06-09,Shipped,NULL,209,NULL,2021-10-11 10:38:50,2021-10-11 10:38:50
10304,2004-10-11,2004-10-20,2004-10-17,Shipped,NULL,256,NULL,2021-10-11 10:38:50,2021-10-11 10:38:50
10397,2005-03-28,2005-04-09,2005-04-01,Shipped,NULL,242,NULL,2021-10-11 10:38:50,2021-10-11 10:38:50
10405,2005-04-14,2005-04-24,2005-04-20,Shipped,NULL,209,NULL,2021-10-11 10:38:50,2021-10-11 10:38:50
