orderNumber,orderDate,requiredDate,shippedDate,status,comments,customerNumber,store_id,create_timestamp,update_timestamp
10107,2003-02-24,2003-03-03,2003-02-26,Shipped,Difficult to negotiate with customer. We need more marketing materials,131,NULL,2021-10-11 10:40:45,2021-10-11 10:40:45
10111,2003-03-25,2003-03-31,2003-03-30,Shipped,NULL,129,NULL,2021-10-11 10:40:45,2021-10-11 10:40:45
10113,2003-03-26,2003-04-02,2003-03-27,Shipped,NULL,124,NULL,2021-10-11 10:40:45,2021-10-11 10:40:45
10130,2003-06-16,2003-06-24,2003-06-21,Shipped,NULL,198,NULL,2021-10-11 10:40:45,2021-10-11 10:40:45
10131,2003-06-16,2003-06-25,2003-06-21,Shipped,NULL,447,NULL,2021-10-11 10:40:45,2021-10-11 10:40:45
10135,2003-07-02,2003-07-12,2003-07-03,Shipped,NULL,124,NULL,2021-10-11 10:40:45,2021-10-11 10:40:45
10140,2003-07-24,2003-08-02,2003-07-30,Shipped,NULL,161,NULL,2021-10-11 10:40:45,2021-10-11 10:40:45
10142,2003-08-08,2003-08-16,2003-08-13,Shipped,NULL,124,NULL,2021-10-11 10:40:45,2021-10-11 10:40:45
10143,2003-08-10,2003-08-18,2003-08-12,Shipped,Can we deliver the new Ford Mustang models by end-of-quarter?,320,NULL,2021-10-11 10:40:45,2021-10-11 10:40:45
10146,2003-09-03,2003-09-13,2003-09-06,Shipped,NULL,447,NULL,2021-10-11 10:40:45,2021-10-11 10:40:45
10147,2003-09-05,2003-09-12,2003-09-09,Shipped,NULL,379,NULL,2021-10-11 10:40:45,2021-10-11 10:40:45
10149,2003-09-12,2003-09-18,2003-09-17,Shipped,NULL,487,NULL,2021-10-11 10:40:45,2021-10-11 10:40:45
10166,2003-10-21,2003-10-30,2003-10-27,Shipped,NULL,462,NULL,2021-10-11 10:40:45,2021-10-11 10:40:45
10168,2003-10-28,2003-11-03,2003-11-01,Shipped,NULL,161,NULL,2021-10-11 10:40:45,2021-10-11 10:40:45
10182,2003-11-12,2003-11-21,2003-11-18,Shipped,NULL,124,NULL,2021-10-11 10:40:45,2021-10-11 10:40:45
10183,2003-11-13,2003-11-22,2003-11-15,Shipped,We need to keep in close contact with their Marketing VP. He is the decision maker for all their purchases.,339,NULL,2021-10-11 10:40:45,2021-10-11 10:40:45
10185,2003-11-14,2003-11-21,2003-11-20,Shipped,NULL,320,NULL,2021-10-11 10:40:45,2021-10-11 10:40:45
10195,2003-11-25,2003-12-01,2003-11-28,Shipped,NULL,319,NULL,2021-10-11 10:40:45,2021-10-11 10:40:45
10201,2003-12-01,2003-12-11,2003-12-02,Shipped,NULL,129,NULL,2021-10-11 10:40:45,2021-10-11 10:40:45
10219,2004-02-10,2004-02-17,2004-02-12,Shipped,NULL,487,NULL,2021-10-11 10:40:45,2021-10-11 10:40:45
10228,2004-03-10,2004-03-18,2004-03-13,Shipped,NULL,173,NULL,2021-10-11 10:40:45,2021-10-11 10:40:45
10229,2004-03-11,2004-03-20,2004-03-12,Shipped,NULL,124,NULL,2021-10-11 10:40:45,2021-10-11 10:40:45
10235,2004-04-02,2004-04-12,2004-04-06,Shipped,NULL,260,NULL,2021-10-11 10:40:45,2021-10-11 10:40:45
10248,2004-05-07,2004-05-14,NULL,Cancelled,Order was mistakenly placed. The warehouse noticed the lack of documentation.,131,NULL,2021-10-11 10:40:45,2021-10-11 10:40:45
10249,2004-05-08,2004-05-17,2004-05-11,Shipped,Can we deliver the new Ford Mustang models by end-of-quarter?,173,NULL,2021-10-11 10:40:45,2021-10-11 10:40:45
10250,2004-05-11,2004-05-19,2004-05-15,Shipped,NULL,450,NULL,2021-10-11 10:40:45,2021-10-11 10:40:45
